28 noviembre,Desarrollar un videojuego móvil multiplataforma con Cocos2D-X,JON SEGADOR,09:30-10:15
28 noviembre,Spock: testing (in the) Enterprise,FERNANDO REDONDO RAMÍREZ,09:30-10:15
28 noviembre,Cassandra para impacientes,CARLOS ALONSO PÉREZ,10:30-11:15
28 noviembre,World-Class Testing Pipeline in Android,PEDRO VICENTE GÓMEZ SÁNCHEZ,10:30-11:15
28 noviembre,De Java a Python en un gestor de dependencias de C y C++: Aventuras y desventuras de una startup,DIEGO RODRIGUEZ-LOSADA,10:30-11:15
28 noviembre,Hackathons on Rails,CODEMOTION MADRID,10:30-11:15
28 noviembre,Coding Culture,SVEN PETERS,10:30-11:15
28 noviembre,Unit testing: el mito de los cero bugs,FERNANDO ESCOLAR,10:30-11:15
28 noviembre,Bienvenido de nuevo C++,EDUARD TOMÀS,10:30-11:15
28 noviembre,"Web components, como implementarlos en nuestros desarrollos.",BRIAN SALAZAR,12:15-13:00
28 noviembre,Rendimiento invisible: ¿Cómo de rápido es tú código JavaScript?,KIKO BEATS,12:15-13:00
28 noviembre,Dos viajes dentro de la JVM: CRaSH y YouDebug,JMIGUEL RODRIGUEZ,12:15-13:00
28 noviembre,Universal Windows Platform: Como planificar y diseñar mi Aplicación,MARTIN VEGA CABALLERO,12:15-13:00
28 noviembre,Programando en diferido,JORGE J. “FLIPPER83” BARROSO,12:15-13:00
28 noviembre,"Comunicación en equipos técnicos, o cómo tratar con tus colegas sin que te den ganas de matar",JAVIER RAMIREZ,12:15-13:00
28 noviembre,Scrum Wars: Destripando Scrum (Utopías y realidades),DAVID FERNÁNDEZ GONZÁLEZ,12:15-13:00
28 noviembre,DevOps4Networks,NATHAN SOWATSKEY,12:15-13:00
28 noviembre,IBM Containers - solving problems at light speed with a hosted Docker service,RICK OSOWSKI,12:15-13:00
28 noviembre,Graphite a fondo.,JOSE PLANA,12:15-13:00
28 noviembre,"RxJava en práctica, de 0 a master",JAVIER GAMARRA,12:15-13:00
28 noviembre,Carrera de fondo: la continuada lucha de AngularJS... ¿Quién gana?,JOSÉ MANUEL GARCÍA GARCÍA,13:15-14:00
28 noviembre,Top 10 vulnerabilidades cometidas por desarrolladores y administradores,JAIME ODENA,13:15-14:00
28 noviembre,La Web Orientada a Componentes,JAVIER VÉLEZ REYES,13:15-14:00
28 noviembre,Machine Learning y el Proyecto Oxford,ALEJANDRO CAMPOS MAGENCIO,13:15-14:00
28 noviembre,Navega con el Piloto Automático con CasperJS,ADOLFO SANZ DE DIEGO,13:15-14:00
28 noviembre,Realtime video streaming the opensource way,IVAN BELMONTE,13:15-14:00
28 noviembre,¿Quién manda en tu lenguaje de programación favorito?,LUIS GARCÍA CASTRO,13:15-14:00
28 noviembre,Build Apps for Apple Watch,FRANCESCO NOVELLI,13:15-14:00
28 noviembre,Todo lo que siempre quisiste saber sobre Atlassian y nunca te atreviste a preguntar,ANTONIO DAVID FERNÁNDEZ,13:15-14:00
28 noviembre,Tu DevOp me da trabajo: Soy auditor de seguridad,DANIEL GARCIA (A.K.A. CR0HN),15:30-16:15
28 noviembre,Descubriendo 40 Geo-APIs en 40 minutos,RAÚL JIMÉNEZ ORTEGA,15:30-16:15
28 noviembre,Adding Realtime to your App,NACHO MARTÍN,15:30-16:15
28 noviembre,Containers - the little Linux feature revolutionizing apps of all sizes,RICK OSOWSKI,15:30-16:15
28 noviembre,"Proyecto TRRP: Drones con routers, Javascript y C",DAVID MELENDEZ,15:30-16:15
28 noviembre,Drilling into Data with Apache Drill,TUGDUAL GRALL,15:30-16:15
28 noviembre,"ASP.NET 5 en Linux y Mac, herramientas e integración","ROBERTO GONZÁLEZ, LUIS RUIZ PAVÓN",15:30-16:15
28 noviembre,Be water with Spark,SERGIO GÓMEZ,15:30-16:15
28 noviembre,Testing AngularJS with Jasmine,SAM LEACH,15:30-16:15
28 noviembre,Scrapìng the web,JOSE MANUEL ORTEGA,15:30-16:15
28 noviembre,"Building and deploying a distributed application with Docker, Mesos and Marathon",JULIA MATEO,15:30-16:15
28 noviembre,Lightweight HTTP applications in the JVM with Groovy and Ratpack,ÁLVARO SÁNCHEZ-MARISCAL,15:30-16:15
28 noviembre,Resolviendo la noche electoral con AWS + Node.js + Angular.js + D3.js + Leafleat.js,JAVIER ABADÍA,16:30-17:15
28 noviembre,Help! I need more women!,"LAURA MORILLO-VELARDE RODRÍGUEZ, ANA FERNANDEZDEVEGA, MARINA LORENZO",16:30-17:15
28 noviembre,¡EMT Madrid y Apple Watch! Aplicaciones Dependientes de Contexto Siguiente Nivel,"JORGE RUIZ, ROBERTO ESTEBAN SANTIAGO",16:30-17:15
28 noviembre,Testing Your Spring Boot Application With Selenium,MATHILDE RIGABERT LEMÉE,16:30-17:15
28 noviembre,Windows 10: One package for all,JOSUE YERAY JULIAN FERREIRO,16:30-17:15
28 noviembre,CoreOS: Tu infrastructura escalable y reproducible,LUIS MARTÍNEZ DE BARTOLOMÉ,16:30-17:15
28 noviembre,Realidad Virtual de andar por casa | Shirt-sleeve Virtual Reality,"WILLIAM VIANA, JORGE RODRÍGUEZ LERÍA",16:30-17:15
28 noviembre,Primeros pasos con Aurelia,"RAUL REQUERO, JOSE ANGEL",16:30-17:15
28 noviembre,MongoDB Avanzado,VÍCTOR CUERVO,17:30-18:15
28 noviembre,Taiga: de 0 a 70.000 proyectos online. Como parar los pies a tus usuarios,PABLO RUIZ MÚZQUIZ (DIACRÍTICA),17:30-18:15
28 noviembre,Análisis continuo de la calidad del software en desarrollos ágiles,GUILLERMO VILLARRUBIA ESTEBAN,17:30-18:15
28 noviembre,The HTTP/2 protocol: kill that latency!,GIUSEPPE CIOTTA,17:30-18:15
28 noviembre,Programa mejor que Chuck Norris: Herramientas que nos ayudan a mejorar,RAFAEL BERMÚDEZ MÍGUEZ,17:30-18:15
28 noviembre,Elegant?? Unit Testing,PABLO GUARDIOLA,17:30-18:15
28 noviembre,Scale up your CI to a Continuous Delivery Pipeline,MIGUEL SERRANO MILANO,17:30-18:15
28 noviembre,Ansible: gozando la configuración de servidores,IGNACIO SÁNCHEZ HOLGUERAS,17:30-18:15
28 noviembre,Creación de un preprocesador simple de HTML con NodeJS,BRIAN SALAZAR,17:30-18:15
28 noviembre,Java 8 en accion,"DENIS SIMON SONEIRA, AURITA MUÑOZ, KATIA ARESTI",17:30-18:15
28 noviembre,"Build a Time Series Application with with Kafka, HBase and Spark",TUGDUAL GRALL,17:30-18:15
28 noviembre,Creando aplicaciones de iOS con React Native,SAM LEACH,17:30-18:15
28 noviembre,Mesa redonda: la nueva generación de startups españolas,"NACHO COLOMA, JORDI ROMERO, DAVID BONILLA, FELIPE NAVÍO, JAVIER SANTANA",18:30-19:15
28 noviembre,Escalando Agile en las organizaciones,CHEMA GARCIA MARTINEZ,18:30-19:15
28 noviembre,«Gente que hace cosas con cacharros»,"MIGUEL ÁNGEL LÓPEZ VICENTE, JOSÉ JUAN SÁNCHEZ HERNÁNDEZ",18:30-19:15
28 noviembre,Integración continua con Apps Xamarin,JAVIER SUÁREZ RUIZ,18:30-19:15
28 noviembre,Como arreglar este desastre,SAMUEL SOLÍS FUENTES,18:30-19:15
28 noviembre,Radar Ágil: herramienta de crecimiento para equipos ágiles,JUAN MANUEL GÓMEZ RAMOS,18:30-19:15
28 noviembre,PostCSS y CSSnext: El CSS del futuro.,XAVIJU JULIÁN,18:30-19:15
28 noviembre,Testing Android Security,JOSE MANUEL ORTEGA,18:30-19:15
